player,name,team,position,natural_position,club,league,age,pace,shooting,passing,dribbling,defending,physical,overall,vision,gk,caps,form,available
Edmílson Junior Paulo da Silva,Edmílson Junior Paulo da Silva,Qatar,LW,LW,,nan,30,88.0,75.0,70.0,79.0,44.0,65.0,76,72.4,12.75,8,76.0,1
Almoez Ali Zainalabedeen Mohamed Abdulla,Almoez Ali Zainalabedeen Mohamed Abdulla,Qatar,ST,ST,,nan,28,75.0,74.0,58.0,68.0,25.0,72.0,74,64.4,11.0,8,74.0,1
Karim Boudiaf,Karim Boudiaf,Qatar,CM,CM,,nan,34,50.0,62.0,71.0,69.0,67.0,74.0,71,71.0,10.5,8,71.0,1
Hasan Khalid Hasan Al Haydos,Hasan Khalid Hasan Al Haydos,Qatar,RM,RM,,nan,34,76.0,66.0,69.0,75.0,34.0,43.0,71,69.8,11.5,8,71.0,1
Boualem Khoukhi,Boualem Khoukhi,Qatar,CB,CB,,nan,34,60.0,60.0,57.0,54.0,71.0,76.0,71,62.599999999999994,11.0,8,71.0,1
Abdelkarim Hassan Al Haj Fadlalla,Abdelkarim Hassan Al Haj Fadlalla,Qatar,LB,LB,,nan,31,74.0,67.0,65.0,64.0,65.0,82.0,70,67.0,9.25,8,70.0,1
Lucas Michel Mendes,Lucas Michel Mendes,Qatar,CB,CB,,nan,34,53.0,57.0,59.0,59.0,70.0,71.0,70,63.4,12.0,8,70.0,1
Meshaal Aissa Mohammed Barsham,Meshaal Aissa Mohammed Barsham,Qatar,GK,GK,,nan,27,45.0,45.0,45.0,45.0,45.0,45.0,70,70.0,69.5,8,70.0,1
Abdulaziz Hatem Abdallah Mohammed,Abdulaziz Hatem Abdallah Mohammed,Qatar,CM,CM,,nan,34,59.0,67.0,70.0,68.0,61.0,70.0,70,70.0,10.75,8,70.0,1
Bassam Hisham Ali Al Rawi,Bassam Hisham Ali Al Rawi,Qatar,RB,RB,,nan,27,72.0,48.0,62.0,66.0,67.0,76.0,69,64.8,9.75,8,69.0,1
Homam Al Amin Mohamed Ahmed,Homam Al Amin Mohamed Ahmed,Qatar,LB,LB,,nan,25,76.0,48.0,60.0,61.0,62.0,70.0,68,63.2,9.75,8,68.0,1
Pedro Miguel Carvalho Deus Correia,Pedro Miguel Carvalho Deus Correia,Qatar,RB,RB,,nan,34,73.0,38.0,60.0,61.0,64.0,78.0,68,63.2,9.25,8,68.0,1
Tarek Salman Suleiman Odeh,Tarek Salman Suleiman Odeh,Qatar,CB,CB,,nan,27,73.0,34.0,59.0,60.0,68.0,71.0,68,62.6,11.25,8,68.0,1
Ahmed Fathi Mansi Abdoulla,Ahmed Fathi Mansi Abdoulla,Qatar,CDM,CDM,,nan,32,71.0,38.0,54.0,58.0,67.0,76.0,68,59.6,7.0,8,68.0,1
Ahmed Mohamed Hussein Kassim Al Ganehi,Ahmed Mohamed Hussein Kassim Al Ganehi,Qatar,RW,RW,,nan,24,72.0,62.0,60.0,68.0,25.0,51.0,67,62.8,9.25,8,67.0,1
Mohammed Muntari,Mohammed Muntari,Qatar,ST,ST,,nan,31,63.0,66.0,48.0,60.0,27.0,69.0,66,55.2,6.75,8,66.0,1
Yusuf Abdurisag,Yusuf Abdurisag,Qatar,RW,RW,,nan,25,82.0,56.0,57.0,68.0,30.0,51.0,65,60.199999999999996,10.25,8,65.0,1
Saad Abdullah Mohammed Ebrahim Al Sheeb,Saad Abdullah Mohammed Ebrahim Al Sheeb,Qatar,GK,GK,,nan,35,45.0,45.0,45.0,45.0,45.0,45.0,65,65.0,64.25,8,65.0,1
Assim Omer Al Haj Madibo,Assim Omer Al Haj Madibo,Qatar,CDM,CDM,,nan,28,82.0,38.0,53.0,61.0,65.0,75.0,65,57.8,11.25,8,65.0,1
Salah Zakaria Mohamed Mousa Hassan,Salah Zakaria Mohamed Mousa Hassan,Qatar,GK,GK,,nan,26,45.0,45.0,45.0,45.0,45.0,45.0,64,64.0,62.75,8,64.0,1
Mustafa Tarek Mashaal,Mustafa Tarek Mashaal,Qatar,CM,CM,,nan,24,67.0,46.0,59.0,58.0,60.0,60.0,64,61.0,11.75,8,64.0,1
Abdullah Sirelkhatim Abdullah Yousef,Abdullah Sirelkhatim Abdullah Yousef,Qatar,RB,RB,,nan,23,68.0,40.0,51.0,57.0,63.0,58.0,63,55.8,7.5,8,63.0,1
Jassem Gaber Elsayed Abdulsallam,Jassem Gaber Elsayed Abdulsallam,Qatar,CB,CB,,nan,23,64.0,44.0,53.0,54.0,62.0,72.0,63,57.0,10.25,8,63.0,1
Ahmed Husham Ali Al Rawi,Ahmed Husham Ali Al Rawi,Qatar,ST,ST,,nan,21,70.0,61.0,50.0,60.0,38.0,53.0,60,54.0,8.75,8,60.0,1
Yann Sommer,Yann Sommer,Switzerland,GK,GK,Inter,Serie A,36,45.0,45.0,45.0,45.0,45.0,45.0,87,87.0,85.25,74,87.0,1
Gregor Kobel,Gregor Kobel,Switzerland,GK,GK,Borussia Dortmund,Bundesliga,27,45.0,45.0,45.0,45.0,45.0,45.0,86,86.0,85.75,74,86.0,1
Granit Xhaka,Granit Xhaka,Switzerland,CDM,CDM,Sunderland,Premier League,32,47.0,75.0,85.0,74.0,78.0,82.0,85,85.0,8.75,52,85.0,1
Manuel Obafemi Akanji,Manuel Obafemi Akanji,Switzerland,CB,CB,Inter,Serie A,29,74.0,48.0,69.0,73.0,82.0,81.0,82,74.2,8.5,52,82.0,1
Denis Lemi Zakaria Lako Lado,Denis Lemi Zakaria Lako Lado,Switzerland,CDM,CDM,AS Monaco,Ligue 1,28,80.0,67.0,74.0,77.0,80.0,85.0,82,77.2,12.0,52,82.0,1
Fabian Lukas Schär,Fabian Lukas Schär,Switzerland,CB,CB,Newcastle United,Premier League,33,51.0,68.0,76.0,73.0,84.0,80.0,82,78.4,10.5,52,82.0,1
Remo Marco Freuler,Remo Marco Freuler,Switzerland,CDM,CDM,Bologna,Serie A,33,58.0,72.0,76.0,77.0,77.0,74.0,81,78.0,11.75,52,81.0,1
Dan Assane Ndoye,Dan Assane Ndoye,Switzerland,LM,LM,Nottingham Forest,Premier League,24,89.0,72.0,70.0,81.0,62.0,68.0,79,73.6,12.75,8,79.0,1
Xherdan Shaqiri,Xherdan Shaqiri,Switzerland,CAM,CAM,FC Basel 1893,Super League,33,67.0,81.0,81.0,80.0,40.0,73.0,78,79.80000000000001,11.75,8,78.0,1
Roman Bürki,Roman Bürki,Switzerland,GK,GK,St. Louis CITY SC,Major League Soccer,34,45.0,45.0,45.0,45.0,45.0,45.0,77,77.0,76.5,52,77.0,1
Nico Elvedi,Nico Elvedi,Switzerland,CB,CB,Borussia Mönchengladbach,Bundesliga,28,70.0,39.0,63.0,65.0,78.0,76.0,77,68.6,11.25,30,77.0,1
Ardon Jashari,Ardon Jashari,Switzerland,CDM,CDM,AC Milan,Serie A,22,75.0,67.0,75.0,73.0,72.0,82.0,77,75.8,8.25,8,77.0,1
Breel Donald Embolo,Breel Donald Embolo,Switzerland,ST,ST,Stade Rennais FC,Ligue 1,28,78.0,75.0,70.0,75.0,51.0,80.0,77,72.8,9.5,30,77.0,1
Cédric Zesiger,Cédric Zesiger,Switzerland,CB,CB,FC Augsburg,Bundesliga,27,66.0,43.0,56.0,61.0,74.0,84.0,76,64.0,8.5,8,76.0,1
Noah Arinzechukwu Okafor,Noah Arinzechukwu Okafor,Switzerland,ST,ST,Leeds United,Premier League,25,86.0,76.0,71.0,80.0,31.0,69.0,76,73.0,9.75,8,76.0,1
Mohameth Djibril Ibrahima Sow,Mohameth Djibril Ibrahima Sow,Switzerland,CM,CM,Sevilla FC,La Liga,28,78.0,69.0,73.0,76.0,74.0,78.0,76,74.2,8.25,30,76.0,1
Miro Max Maria Muheim,Miro Max Maria Muheim,Switzerland,LB,LB,Hamburger SV,Bundesliga,27,73.0,66.0,73.0,73.0,71.0,73.0,75,73.8,10.0,8,75.0,1
Jordan Mvula Lotomba,Jordan Mvula Lotomba,Switzerland,RB,RB,Feyenoord,Eredivisie,26,75.0,48.0,65.0,72.0,71.0,71.0,75,69.0,12.25,8,75.0,1
Ulisses Alexandre Garcia Lopes,Ulisses Alexandre Garcia Lopes,Switzerland,LB,LB,Olympique de Marseille,Ligue 1,29,79.0,49.0,66.0,71.0,70.0,74.0,75,69.6,11.75,8,75.0,1
Mohamed Zeki Amdouni,Mohamed Zeki Amdouni,Switzerland,ST,ST,Burnley,Premier League,24,71.0,76.0,69.0,76.0,46.0,70.0,75,71.4,10.75,8,75.0,1
Renato Steffen,Renato Steffen,Switzerland,RW,RW,FC Lugano,Super League,33,83.0,71.0,73.0,76.0,50.0,65.0,75,73.8,10.75,30,75.0,1
Filip Ugrinić,Filip Ugrinić,Switzerland,CM,CM,Valencia CF,La Liga,26,77.0,73.0,74.0,75.0,69.0,85.0,75,74.4,9.75,8,75.0,1
Dominik Robin Schmid,Dominik Robin Schmid,Switzerland,LB,LB,FC Basel 1893,Super League,27,77.0,58.0,75.0,73.0,67.0,73.0,74,74.6,9.5,8,74.0,1
Bećir Omeragić,Bećir Omeragić,Switzerland,CB,CB,Montpellier HSC,Ligue 2,23,75.0,40.0,63.0,67.0,74.0,73.0,74,67.4,11.75,8,74.0,1
Steven Zuber,Steven Zuber,Switzerland,ST,ST,FC Zürich,Super League,33,75.0,75.0,73.0,75.0,60.0,75.0,74,73.4,13.25,8,74.0,1
Andi Avdi Zeqiri,Andi Avdi Zeqiri,Switzerland,ST,ST,Widzew Łódź,Ekstraklasa,26,66.0,74.0,60.0,73.0,23.0,72.0,72,64.8,13.75,8,72.0,1
Alisson Ramsés Becker,Alisson Ramsés Becker,Brazil,GK,GK,Liverpool,Premier League,32,45.0,45.0,45.0,45.0,45.0,45.0,89,89.0,87.5,96,89.0,1
Raphael Dias Belloli,Raphael Dias Belloli,Brazil,LM,LM,FC Barcelona,La Liga,28,91.0,84.0,85.0,87.0,53.0,75.0,89,86.6,9.25,74,89.0,1
Vinicius José Paixão de Oliveira Junior,Vinicius José Paixão de Oliveira Junior,Brazil,LW,LW,Real Madrid,La Liga,24,95.0,84.0,81.0,91.0,29.0,69.0,89,84.2,7.25,96,89.0,1
Gabriel dos Santos Magalhães,Gabriel dos Santos Magalhães,Brazil,CB,CB,Arsenal,Premier League,27,64.0,44.0,64.0,65.0,88.0,84.0,88,73.6,9.25,74,88.0,1
Marcos Aoás Corrêa,Marcos Aoás Corrêa,Brazil,CB,CB,Paris Saint-Germain,Ligue 1,31,78.0,56.0,75.0,74.0,89.0,80.0,87,79.80000000000001,8.75,74,87.0,1
Bruno Guimarães Rodrigues Moura,Bruno Guimarães Rodrigues Moura,Brazil,CM,CM,Newcastle United,Premier League,27,66.0,75.0,84.0,84.0,79.0,81.0,86,84.8,10.0,74,86.0,1
Rodrygo Silva de Goes,Rodrygo Silva de Goes,Brazil,RW,RW,Real Madrid,La Liga,24,88.0,80.0,79.0,87.0,31.0,64.0,85,81.4,7.5,74,85.0,1
Ederson Santana de Moraes,Ederson Santana de Moraes,Brazil,GK,GK,Fenerbahçe SK,Süper Lig,31,45.0,45.0,45.0,45.0,45.0,45.0,85,85.0,82.75,52,85.0,1
Gleison Bremer Silva Nascimento,Gleison Bremer Silva Nascimento,Brazil,CB,CB,Juventus,Serie A,28,82.0,50.0,58.0,66.0,86.0,80.0,85,68.8,9.75,74,85.0,1
Éder Gabriel Militão,Éder Gabriel Militão,Brazil,CB,CB,Real Madrid,La Liga,27,82.0,50.0,69.0,71.0,85.0,82.0,84,75.0,11.5,52,84.0,1
Ronaldo Jailson Cabrais Petri,Ronaldo Jailson Cabrais Petri,Brazil,CAM,CAM,Botafogo,Série A,29,88.0,77.0,83.0,84.0,35.0,72.0,83,83.0,13.0,52,83.0,1
Matheus Santos Carneiro da Cunha,Matheus Santos Carneiro da Cunha,Brazil,CAM,CAM,Manchester United,Premier League,26,77.0,85.0,79.0,84.0,44.0,75.0,83,80.6,9.75,52,83.0,1
Murillo Santiago Costa dos Santos,Murillo Santiago Costa dos Santos,Brazil,CB,CB,Nottingham Forest,Premier League,22,80.0,48.0,67.0,71.0,83.0,83.0,83,73.4,12.0,52,83.0,1
Lucas Luciano Mantela Patrício,Lucas Luciano Mantela Patrício,Brazil,GK,GK,Palmeiras,Série A,25,45.0,45.0,45.0,45.0,45.0,45.0,82,82.0,81.0,52,82.0,1
Sávio Moreira de Oliveira,Sávio Moreira de Oliveira,Brazil,RW,RW,Manchester City,Premier League,21,87.0,71.0,78.0,86.0,30.0,53.0,82,79.6,10.5,52,82.0,1
Roger Ibañez da Silva,Roger Ibañez da Silva,Brazil,CB,CB,Al Ahli SFC,Pro League,26,87.0,32.0,47.0,61.0,83.0,85.0,82,61.0,9.25,52,82.0,1
Fábio Henrique Tavares,Fábio Henrique Tavares,Brazil,CDM,CDM,Al Ittihad,Pro League,31,53.0,69.0,78.0,77.0,81.0,80.0,82,79.6,10.25,52,82.0,1
Malcom Filipe Silva de Oliveira,Malcom Filipe Silva de Oliveira,Brazil,CAM,CAM,Al Hilal,Pro League,28,89.0,78.0,79.0,84.0,43.0,73.0,82,80.2,9.5,52,82.0,1
Éderson José dos Santos Lourenço da Silva,Éderson José dos Santos Lourenço da Silva,Brazil,CM,CM,Atalanta,Serie A,25,78.0,72.0,77.0,80.0,80.0,81.0,82,79.0,12.5,52,82.0,1
Joelinton Cassio Apolinário de Lira,Joelinton Cassio Apolinário de Lira,Brazil,CM,CM,Newcastle United,Premier League,28,74.0,73.0,77.0,81.0,82.0,90.0,82,79.0,12.0,52,82.0,1
Welington Kauê Dano Nascimento,Welington Kauê Dano Nascimento,Brazil,LB,LB,Atlético Mineiro,Série A,25,79.0,54.0,76.0,79.0,75.0,74.0,81,78.0,11.25,52,81.0,1
Carlos Augusto Zopalato Neves,Carlos Augusto Zopalato Neves,Brazil,LB,LB,Inter,Serie A,26,78.0,72.0,77.0,79.0,79.0,76.0,81,78.6,12.0,52,81.0,1
Antony Matheus dos Santos,Antony Matheus dos Santos,Brazil,RW,RW,Real Betis Balompié,La Liga,25,84.0,78.0,78.0,83.0,43.0,70.0,81,79.19999999999999,10.0,52,81.0,1
Gabriel Teodoro Martinelli Silva,Gabriel Teodoro Martinelli Silva,Brazil,LW,LW,Arsenal,Premier League,24,90.0,77.0,75.0,83.0,46.0,72.0,81,77.4,7.0,52,81.0,1
Marvin Oswaldo Rangel Azevedo,Marvin Oswaldo Rangel Azevedo,Brazil,ST,ST,Flamengo,Série A,29,76.0,81.0,67.0,77.0,20.0,79.0,81,72.6,9.0,52,81.0,1
Maikel Renan Catarino Fagundes,Maikel Renan Catarino Fagundes,Brazil,RB,RB,Corinthians,Série A,29,76.0,51.0,70.0,77.0,77.0,72.0,80,74.0,13.25,8,80.0,1
Achraf Hakimi Mouh,Achraf Hakimi Mouh,Morocco,RB,RB,Paris Saint-Germain,Ligue 1,26,92.0,79.0,82.0,83.0,82.0,79.0,89,84.8,8.0,74,89.0,1
Yassine Bounou,Yassine Bounou,Morocco,GK,GK,Al Hilal,Pro League,34,45.0,45.0,45.0,45.0,45.0,45.0,82,82.0,82.5,52,82.0,1
Youssef En-Nesyri,Youssef En-Nesyri,Morocco,ST,ST,Fenerbahçe SK,Süper Lig,28,79.0,81.0,65.0,75.0,35.0,80.0,82,71.80000000000001,11.0,52,82.0,1
Brahim Abdelkader Díaz,Brahim Abdelkader Díaz,Morocco,RM,RM,Real Madrid,La Liga,25,82.0,74.0,79.0,85.0,31.0,58.0,82,80.2,9.5,52,82.0,1
Nayef Aguerd,Nayef Aguerd,Morocco,CB,CB,Olympique de Marseille,Ligue 1,29,72.0,50.0,67.0,65.0,82.0,77.0,81,72.6,10.5,52,81.0,1
Noussair Mazraoui,Noussair Mazraoui,Morocco,RB,RB,Manchester United,Premier League,27,75.0,66.0,76.0,80.0,77.0,72.0,80,77.6,10.75,52,80.0,1
Ayoub El Kaabi,Ayoub El Kaabi,Morocco,ST,ST,Olympiacos FC,Super League,32,82.0,82.0,62.0,75.0,46.0,77.0,80,69.19999999999999,11.25,8,80.0,1
Ismael Saibari Ben El Basra,Ismael Saibari Ben El Basra,Morocco,CAM,CAM,PSV,Eredivisie,23,78.0,75.0,74.0,82.0,51.0,78.0,79,76.0,11.25,8,79.0,1
Romain Ghanem Paul Saïss,Romain Ghanem Paul Saïss,Morocco,CB,CB,,nan,35,58.0,58.0,71.0,67.0,79.0,81.0,79,74.2,11.0,30,79.0,1
Abderrazak Hamdallah,Abderrazak Hamdallah,Morocco,ST,ST,Al Shabab,Pro League,34,59.0,80.0,70.0,78.0,31.0,78.0,79,73.6,11.25,30,79.0,1
Amine Adli,Amine Adli,Morocco,ST,ST,AFC Bournemouth,Premier League,25,84.0,76.0,70.0,82.0,42.0,69.0,78,73.2,9.5,8,78.0,1
Sofyan Amrabat,Sofyan Amrabat,Morocco,CDM,CDM,Real Betis Balompié,La Liga,28,61.0,70.0,73.0,74.0,75.0,82.0,78,75.0,13.5,8,78.0,1
Soufiane Rahimi,Soufiane Rahimi,Morocco,LM,LM,Al Ain,Pro League,29,85.0,76.0,72.0,77.0,38.0,66.0,78,74.4,9.75,8,78.0,1
Hakim Ziyech,Hakim Ziyech,Morocco,RM,RM,,nan,32,72.0,76.0,81.0,80.0,48.0,63.0,78,79.80000000000001,10.0,52,78.0,1
Omar El Hilali,Omar El Hilali,Morocco,RB,RB,RCD Espanyol,La Liga,21,85.0,41.0,67.0,69.0,74.0,77.0,77,71.0,12.5,8,77.0,1
Mourad Batna,Mourad Batna,Morocco,RM,RM,Al Fateh,Pro League,35,72.0,77.0,75.0,77.0,36.0,78.0,77,75.8,10.25,8,77.0,1
Neil El Aynaoui,Neil El Aynaoui,Morocco,CM,CM,Roma,Serie A,23,62.0,63.0,76.0,74.0,73.0,75.0,77,76.4,8.5,8,77.0,1
Abdessamad Ezzalzouli,Abdessamad Ezzalzouli,Morocco,LM,LM,Real Betis Balompié,La Liga,23,87.0,69.0,70.0,81.0,29.0,63.0,77,72.8,8.25,8,77.0,1
Sofiane Diop,Sofiane Diop,Morocco,LW,LW,OGC Nice,Ligue 1,25,77.0,69.0,75.0,80.0,54.0,53.0,76,75.4,11.25,30,76.0,1
Zakaria El Ouahdi,Zakaria El Ouahdi,Morocco,RB,RB,KRC Genk,Pro League,23,73.0,66.0,70.0,77.0,69.0,71.0,76,72.4,8.75,8,76.0,1
Souffian El Karouani,Souffian El Karouani,Morocco,LB,LB,FC Utrecht,Eredivisie,24,71.0,48.0,76.0,74.0,68.0,70.0,75,75.6,8.5,8,75.0,1
Munir Mohand Mohamedi El Kajoui,Munir Mohand Mohamedi El Kajoui,Morocco,GK,GK,,nan,36,45.0,45.0,45.0,45.0,45.0,45.0,74,74.0,73.5,8,74.0,1
Adam Masina,Adam Masina,Morocco,CB,CB,Torino,Serie A,31,62.0,42.0,66.0,68.0,77.0,65.0,74,69.2,10.25,8,74.0,1
Abdelkabir Abqar,Abdelkabir Abqar,Morocco,CB,CB,Getafe CF,La Liga,26,49.0,31.0,54.0,63.0,76.0,69.0,74,62.0,10.0,8,74.0,1
Anass Zaroury,Anass Zaroury,Morocco,LW,LW,Panathinaikos FC,Super League,24,84.0,70.0,69.0,77.0,27.0,61.0,74,71.0,9.25,8,74.0,1
Ahmed Reda Tagnaouti,Ahmed Reda Tagnaouti,Morocco,GK,GK,,nan,29,45.0,45.0,45.0,45.0,45.0,45.0,70,70.0,68.75,8,70.0,1
Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,Haiti,CAM,CAM,Wolverhampton Wanderers,Premier League,27,78.0,63.0,72.0,78.0,70.0,72.0,75,73.19999999999999,11.5,8,75.0,1
Ricardo Adé,Ricardo Adé,Haiti,CB,CB,LDU Quito,Serie A,35,71.0,36.0,58.0,57.0,71.0,77.0,72,63.599999999999994,10.0,8,72.0,1
Frantzdy Pierrot,Frantzdy Pierrot,Haiti,ST,ST,AEK Athens,Super League,30,65.0,72.0,56.0,62.0,32.0,82.0,72,62.400000000000006,11.5,8,72.0,1
Jean-Kévin Duverne,Jean-Kévin Duverne,Haiti,LB,LB,KAA Gent,Pro League,27,60.0,38.0,62.0,67.0,72.0,73.0,71,65.6,10.0,8,71.0,1
Carlens Jean Fedlaire Ruby Arcus,Carlens Jean Fedlaire Ruby Arcus,Haiti,RB,RB,Angers SCO,Ligue 1,29,75.0,44.0,66.0,66.0,66.0,75.0,71,68.0,11.0,8,71.0,1
Danley Jean Jacques,Danley Jean Jacques,Haiti,CM,CM,Philadelphia Union,Major League Soccer,25,69.0,56.0,66.0,70.0,67.0,74.0,70,67.6,9.75,8,70.0,1
Johny Placide,Johny Placide,Haiti,GK,GK,Sporting Club Bastia,Ligue 2,37,45.0,45.0,45.0,45.0,45.0,45.0,69,69.0,68.5,8,69.0,1
Fabrice Jean-Ian Picault,Fabrice Jean-Ian Picault,Haiti,LW,LW,Inter Miami,Major League Soccer,34,87.0,66.0,62.0,71.0,38.0,49.0,69,64.8,8.25,8,69.0,1
Derrick Burckley Etienne Jr.,Derrick Burckley Etienne Jr.,Haiti,LM,LM,Toronto FC,Major League Soccer,28,81.0,61.0,60.0,69.0,40.0,62.0,66,62.400000000000006,7.0,8,66.0,1
Louicius Don Deedson,Louicius Don Deedson,Haiti,RW,RW,FC Dallas,Major League Soccer,24,84.0,62.0,54.0,66.0,22.0,57.0,65,58.4,9.5,8,65.0,1
Martin Expérience,Martin Expérience,Haiti,LB,LB,AS Nancy Lorraine,Ligue 2,26,68.0,36.0,53.0,59.0,58.0,64.0,62,56.599999999999994,8.0,8,62.0,1
Yuri Aleksandr Guboglo,Yuri Aleksandr Guboglo,Haiti,RM,RM,CF Montréal,Major League Soccer,18,80.0,37.0,53.0,61.0,50.0,59.0,59,55.4,10.75,8,59.0,1
Joseph Belmar,Joseph Belmar,Haiti,CM,CM,FC Sion,Super League,19,64.0,49.0,51.0,56.0,50.0,48.0,56,53.0,9.0,8,56.0,1
Wilguens Paugain,Wilguens Paugain,Haiti,RB,RB,SV Zulte Waregem,Pro League,23,62.0,34.0,42.0,50.0,54.0,63.0,55,47.2,9.75,8,55.0,1
Scott Francis McTominay,Scott Francis McTominay,Scotland,CM,CM,Napoli,Serie A,28,76.0,82.0,77.0,80.0,80.0,85.0,85,80.19999999999999,9.0,52,85.0,1
Andrew Henry Robertson,Andrew Henry Robertson,Scotland,LB,LB,Liverpool,Premier League,31,74.0,61.0,80.0,77.0,79.0,75.0,82,80.80000000000001,10.0,52,82.0,1
John McGinn,John McGinn,Scotland,LM,LM,Aston Villa,Premier League,30,69.0,77.0,78.0,80.0,77.0,83.0,81,79.19999999999999,11.0,52,81.0,1
Ryan Christie,Ryan Christie,Scotland,CDM,CDM,AFC Bournemouth,Premier League,30,69.0,70.0,77.0,78.0,74.0,76.0,79,77.8,9.25,8,79.0,1
Callum William McGregor,Callum William McGregor,Scotland,CDM,CDM,Celtic,Premiership,32,77.0,76.0,78.0,80.0,72.0,78.0,79,78.4,11.5,8,79.0,1
Lewis Ferguson,Lewis Ferguson,Scotland,CM,CM,Bologna,Serie A,25,72.0,78.0,74.0,78.0,72.0,75.0,78,75.6,11.25,8,78.0,1
Ryan Gauld,Ryan Gauld,Scotland,LW,LW,Vancouver Whitecaps FC,Major League Soccer,29,83.0,68.0,77.0,82.0,51.0,54.0,78,77.4,12.0,8,78.0,1
Ché Zach Everton Fred Adams,Ché Zach Everton Fred Adams,Scotland,ST,ST,Torino,Serie A,28,82.0,80.0,64.0,77.0,43.0,72.0,77,69.2,13.25,8,77.0,1
Kieran Tierney,Kieran Tierney,Scotland,LB,LB,Celtic,Premiership,28,76.0,60.0,75.0,76.0,75.0,73.0,77,75.8,13.5,30,77.0,1
Scott Fraser McKenna,Scott Fraser McKenna,Scotland,CB,CB,Dinamo Zagreb,Hrvatska nogometna liga,28,60.0,32.0,51.0,56.0,76.0,80.0,75,60.599999999999994,8.25,8,75.0,1
Billy Clifford Gilmour,Billy Clifford Gilmour,Scotland,CM,CM,Napoli,Serie A,24,60.0,58.0,74.0,76.0,69.0,58.0,74,74.0,10.25,8,74.0,1
Oliver Robert McBurnie,Oliver Robert McBurnie,Scotland,ST,ST,Hull City,Championship,29,61.0,71.0,60.0,71.0,34.0,82.0,74,65.6,12.5,8,74.0,1
Aaron Buchanan Hickey,Aaron Buchanan Hickey,Scotland,RB,RB,Brentford,Premier League,23,71.0,54.0,70.0,73.0,74.0,64.0,74,71.6,11.25,8,74.0,1
Thomas Cairney,Thomas Cairney,Scotland,CM,CM,Fulham FC,Premier League,34,52.0,71.0,76.0,73.0,66.0,62.0,74,75.2,9.75,8,74.0,1
Jack William Hendry,Jack William Hendry,Scotland,CB,CB,Al Ettifaq,Pro League,30,73.0,56.0,63.0,64.0,71.0,82.0,74,67.4,11.25,8,74.0,1
Greg John Taylor,Greg John Taylor,Scotland,LB,LB,PAOK,Super League,27,71.0,55.0,73.0,73.0,71.0,73.0,74,73.4,11.0,8,74.0,1
Barry Ryan Bannan,Barry Ryan Bannan,Scotland,CM,CM,Sheffield Wednesday,Championship,35,57.0,63.0,74.0,75.0,60.0,61.0,73,73.6,8.75,8,73.0,1
Josh Thomas Doig,Josh Thomas Doig,Scotland,LB,LB,Sassuolo,Serie A,23,79.0,63.0,66.0,70.0,67.0,70.0,73,68.80000000000001,10.5,8,73.0,1
Lawrence Shankland,Lawrence Shankland,Scotland,ST,ST,Hearts,Premiership,29,63.0,75.0,66.0,72.0,28.0,80.0,73,68.80000000000001,12.25,8,73.0,1
Oliver Jasen Burke,Oliver Jasen Burke,Scotland,ST,ST,1. FC Union Berlin,Bundesliga,28,93.0,70.0,64.0,67.0,41.0,74.0,73,67.6,11.5,8,73.0,1
Lewis Morgan,Lewis Morgan,Scotland,ST,ST,New York Red Bulls,Major League Soccer,28,82.0,74.0,71.0,75.0,55.0,68.0,73,71.80000000000001,10.0,8,73.0,1
John Souttar,John Souttar,Scotland,CB,CB,Rangers FC,Premiership,28,73.0,48.0,63.0,70.0,72.0,77.0,73,67.0,10.75,8,73.0,1
Angus Fraser James Gunn,Angus Fraser James Gunn,Scotland,GK,GK,Nottingham Forest,Premier League,29,45.0,45.0,45.0,45.0,45.0,45.0,72,72.0,72.0,8,72.0,1
Ryan Porteous,Ryan Porteous,Scotland,CB,CB,Los Angeles FC,Major League Soccer,26,65.0,42.0,63.0,60.0,69.0,80.0,71,66.2,9.75,8,71.0,1
Zander Clark,Zander Clark,Scotland,GK,GK,Hearts,Premiership,33,45.0,45.0,45.0,45.0,45.0,45.0,70,70.0,69.75,8,70.0,1
Craig Sinclair Gordon,Craig Sinclair Gordon,Scotland,GK,GK,Hearts,Premiership,42,45.0,45.0,45.0,45.0,45.0,45.0,67,67.0,66.75,8,67.0,1
Christian Mate Pulišić,Christian Mate Pulišić,United States,RW,RW,AC Milan,Serie A,26,88.0,82.0,80.0,86.0,46.0,65.0,84,81.6,12.5,52,84.0,1
Antonee Robinson,Antonee Robinson,United States,LB,LB,Fulham FC,Premier League,27,88.0,46.0,75.0,77.0,78.0,80.0,82,77.80000000000001,11.0,52,82.0,1
Malik Leon Tillman,Malik Leon Tillman,United States,CAM,CAM,Bayer 04 Leverkusen,Bundesliga,23,84.0,76.0,77.0,83.0,65.0,77.0,82,79.0,10.25,52,82.0,1
João Lucas de Souza Cardoso,João Lucas de Souza Cardoso,United States,CDM,CDM,Atlético Madrid,La Liga,23,72.0,67.0,76.0,78.0,80.0,77.0,81,78.0,10.75,8,81.0,1
Cameron Robert Carter-Vickers,Cameron Robert Carter-Vickers,United States,CB,CB,Celtic,Premiership,27,78.0,33.0,59.0,72.0,77.0,84.0,79,67.0,11.25,8,79.0,1
