group,team,player,club,league,position,role,age,ea_overall,skill,form,experience,overall
H,Cape Verde,Sidny Lopes Cabral,Estrela da Amadora,Primeira Liga,DEF,FB,22,66.0,67.2,66.0,18.9,64.2
H,Cape Verde,Sidnei Wilson Vieira David Tavares,Blackburn Rovers,Championship,MID,DM,23,68.0,65.5,68.0,20.5,63.5
H,Cape Verde,Vasco Rafael Fortes Lopes,Radomiak Radom,Ekstraklasa,MID,WM,25,67.0,64.6,67.0,23.9,63.1
H,Cape Verde,Ivanildo Jorge Mendes Fernandes,CD Nacional,Primeira Liga,DEF,CB,29,66.0,63.3,66.0,30.5,62.6
H,Cape Verde,Hélder Luís Lopes Vieira Tavares,CD Tondela,Primeira Liga,MID,DM,35,65.0,62.3,65.0,37.2,62.5
H,Cape Verde,Roberto Carlos Lopes,Shamrock Rovers,Premier Division,DEF,CB,33,66.0,61.5,66.0,37.2,62.1
H,Cape Verde,Bruno Miguel Santos Leite,FK Haugesund,Eliteserien,MID,CM,30,65.0,62.2,65.0,32.2,61.9
H,Cape Verde,Fábio Patrick dos Reis dos Santos Fernandes,Oțelul Galați,Liga I,FWD,ST,31,63.0,62.3,63.0,33.9,61.8
H,Cape Verde,Diogo Alexandre de Almeida Mendes,Rapid Bucuresti,Liga I,MID,DM,27,64.0,62.2,64.0,27.2,61.3
H,Cape Verde,Fabrício Garcia Andrade,GD Estoril Praia,Primeira Liga,MID,WM,24,67.0,62.0,67.0,22.2,61.1
H,Cape Verde,João Paulino Moreira Fernandes,Oțelul Galați,Liga I,MID,CM,27,64.0,61.8,64.0,27.2,61.0
H,Cape Verde,Steve Furtado Pereira,FCV Farul Constanța,Liga I,DEF,FB,30,63.0,60.6,63.0,32.2,60.5
H,Cape Verde,José Luís Rocha Tavares,Santa Clara,Primeira Liga,MID,AM,22,60.0,58.3,60.0,18.9,57.1
K,Colombia,Davinson Sánchez Mina,Galatasaray SK,Süper Lig,DEF,CB,29,82.0,79.9,82.0,69.7,80.4
K,Colombia,Luis Fernando Díaz Marulanda,FC Bayern München,Bundesliga,MID,WM,28,85.0,79.2,85.0,68.1,80.2
K,Colombia,Duván Esteban Zapata Banguero,Torino,Serie A,FWD,ST,34,82.0,78.2,82.0,76.4,79.9
K,Colombia,Daniel Muñoz Mejía,Crystal Palace,Premier League,DEF,FB,29,81.0,76.7,81.0,69.7,78.1
K,Colombia,Juan Guillermo Cuadrado Bello,Pisa,Serie A,MID,WM,37,76.0,76.2,76.0,76.4,77.6
K,Colombia,Andrés Mateus Uribe Villa,Atlético Nacional,Categoría Primera A,MID,CM,34,76.0,74.3,76.0,76.4,76.3
K,Colombia,Luis Javier Suárez Charris,Sporting CP,Primeira Liga,FWD,ST,27,77.0,77.6,77.0,51.5,76.2
K,Colombia,Juan Fernando Quintero Paniagua,River Plate,Liga Profesional de Fútbol,MID,AM,32,77.0,76.3,77.0,59.8,76.2
K,Colombia,Jhon Adolfo Arias Andrade,Wolverhampton Wanderers,Premier League,FWD,W,27,78.0,78.6,78.0,27.2,74.6
K,Colombia,Juan Camilo Hernández Suárez,Real Betis Balompié,La Liga,FWD,ST,26,78.0,78.4,78.0,25.5,74.4
K,Colombia,Jhon Jáder Durán Palacio,Fenerbahçe SK,Süper Lig,FWD,ST,21,79.0,79.0,79.0,17.2,74.1
K,Colombia,Johan Andrés Mojica Palacio,RCD Mallorca,La Liga,DEF,FB,32,78.0,76.5,78.0,35.5,74.1
K,Colombia,Cristian Daniel Arango Duque,San Jose Earthquakes,Major League Soccer,FWD,ST,30,78.0,76.6,78.0,32.2,73.8
K,Colombia,Richard Rios Montoya,SL Benfica,Primeira Liga,MID,CM,25,79.0,77.2,79.0,23.9,73.5
K,Colombia,David Ospina Ramírez,Atlético Nacional,Categoría Primera A,GK,GK,36,76.0,71.6,76.0,61.5,73.0
K,Colombia,Deiver Andrés Machado Mena,RC Lens,Ligue 1,DEF,FB,31,76.0,75.6,76.0,33.9,72.9
K,Colombia,Jefferson Andrés Lerma Solís,Crystal Palace,Premier League,MID,DM,30,77.0,74.5,77.0,32.2,72.2
K,Colombia,Kevin Duván Castaño Gil,River Plate,Liga Profesional de Fútbol,MID,CM,24,77.0,74.7,77.0,22.2,71.3
K,Colombia,Yerry Fernando Mina González,Cagliari,Serie A,DEF,CB,30,77.0,68.8,77.0,56.5,70.8
K,Colombia,Jhon Janer Lucumí Bonilla,Bologna,Serie A,DEF,CB,27,76.0,72.9,76.0,27.2,70.5
K,Colombia,William José Tesillo Gutiérrez,Atlético Nacional,Categoría Primera A,DEF,CB,35,74.0,71.4,74.0,37.2,70.1
K,Colombia,Jaminton Leandro Campaz,Rosario Central,Liga Profesional de Fútbol,MID,WM,25,76.0,72.3,76.0,23.9,69.7
K,Colombia,Yeimar Pastor Gómez Andrade,Seattle Sounders FC,Major League Soccer,DEF,CB,33,75.0,70.5,75.0,37.2,69.6
K,Colombia,Álvaro David Montero Perales,Vélez Sarsfield,Liga Profesional de Fútbol,GK,GK,30,75.0,70.5,75.0,32.2,69.2
K,Colombia,Johan Sebastián Romaña Espitia,San Lorenzo de Almagro,Liga Profesional de Fútbol,DEF,CB,26,74.0,69.9,74.0,25.5,67.9
K,Colombia,Aldair Alejandro Quintana Rojas,Atlético Bucaramanga,Categoría Primera A,GK,GK,30,72.0,68.0,72.0,32.2,66.9
L,Croatia,Luka Modrić,AC Milan,Serie A,MID,CM,39,83.0,79.3,83.0,76.4,80.9
L,Croatia,Andrej Kramarić,TSG 1899 Hoffenheim,Bundesliga,MID,AM,34,81.0,78.8,81.0,76.4,80.2
L,Croatia,Ivan Perišić,PSV,Eredivisie,FWD,W,36,81.0,78.7,81.0,76.4,80.1
L,Croatia,Mateo Kovačić,Manchester City,Premier League,MID,CM,31,83.0,78.6,83.0,73.1,80.0
L,Croatia,Marcelo Brozović,Al Nassr,Pro League,MID,DM,32,81.0,78.7,81.0,74.7,79.9
L,Croatia,Joško Gvardiol,Manchester City,Premier League,DEF,FB,23,84.0,79.8,84.0,59.7,79.7
L,Croatia,Ante Budimir,CA Osasuna,La Liga,FWD,ST,33,82.0,75.6,82.0,76.4,78.1
L,Croatia,Mario Pašalić,Atalanta,Serie A,MID,CM,30,80.0,76.3,80.0,71.4,77.8
L,Croatia,Dominik Livaković,Girona FC,La Liga,GK,GK,30,80.0,74.5,80.0,71.4,76.6
L,Croatia,Nikola Vlašić,Torino,Serie A,MID,AM,27,79.0,77.1,79.0,51.5,76.2
L,Croatia,Lovro Majer,VfL Wolfsburg,Bundesliga,MID,CM,27,78.0,75.3,78.0,51.5,74.9
L,Croatia,Marko Livaja,Hajduk Split,Hrvatska nogometna liga,FWD,ST,31,79.0,77.0,79.0,33.9,74.4
L,Croatia,Petar Musa,FC Dallas,Major League Soccer,FWD,ST,27,76.0,76.2,76.0,27.2,72.7
L,Croatia,Josip Šutalo,Ajax,Eredivisie,DEF,CB,25,78.0,75.4,78.0,23.9,72.1
L,Croatia,Luka Sučić,Real Sociedad,La Liga,MID,CM,22,78.0,75.4,78.0,18.9,71.6
L,Croatia,Josip Stanišić,FC Bayern München,Bundesliga,DEF,CB,25,78.0,74.4,78.0,23.9,71.5
L,Croatia,Bruno Petković,Kocaelispor,Süper Lig,FWD,ST,30,76.0,73.1,76.0,32.2,71.1
L,Croatia,Josip Juranović,1. FC Union Berlin,Bundesliga,DEF,FB,29,75.0,73.4,75.0,30.5,71.0
L,Croatia,Franjo Ivanović,SL Benfica,Primeira Liga,FWD,ST,21,75.0,74.4,75.0,17.2,70.3
L,Croatia,Duje Ćaleta-Car,Real Sociedad,La Liga,DEF,CB,28,74.0,69.0,74.0,53.2,70.1
L,Croatia,Kristijan Kahlina,Charlotte FC,Major League Soccer,GK,GK,32,75.0,70.9,75.0,35.5,69.8
L,Croatia,Domagoj Vida,AEK Athens,Super League,DEF,CB,36,74.0,70.9,74.0,37.2,69.8
L,Croatia,Dominik Kotarski,FC København,Superliga,GK,GK,25,77.0,71.3,77.0,23.9,69.2
L,Croatia,Tin Jedvaj,Panathinaikos FC,Super League,DEF,CB,29,74.0,70.8,74.0,30.5,69.0
L,Croatia,Marin Pongračić,Fiorentina,Serie A,DEF,CB,27,74.0,68.8,74.0,27.2,67.3
L,Croatia,Toni Borevković,Samsunspor,Süper Lig,DEF,CB,28,73.0,66.9,73.0,28.9,66.0
E,Curacao,Tahith Jose Chong,Sheffield United,Championship,MID,AM,25,71.0,71.0,71.0,23.9,68.0
E,Curacao,Juninho Gracielo Bacuna,Gaziantep FK,Süper Lig,MID,DM,27,69.0,68.5,69.0,27.2,66.4
E,Curacao,Daijiro Florencio Chirino,UD Almería,La Liga 2,DEF,CB,23,69.0,69.5,69.0,20.5,66.4
E,Curacao,Sherel Constancio Floranus,PEC Zwolle,Eredivisie,DEF,FB,26,66.0,67.7,66.0,25.5,65.2
E,Curacao,Shurandy Ruggerio Sambo,Sparta Rotterdam,Eredivisie,DEF,FB,23,68.0,67.8,68.0,20.5,65.0
E,Curacao,Brandley Mack-Olien Kuwas,FC Volendam,Eredivisie,MID,WM,32,67.0,64.8,67.0,35.5,64.3
E,Curacao,Xander David Severina,Casa Pia,Primeira Liga,FWD,W,24,67.0,66.7,67.0,22.2,64.3
E,Curacao,Tyrese Noslin,Telstar,Eredivisie,MID,WM,22,66.0,65.6,66.0,18.9,63.1
E,Curacao,Martha Ar'jany Jainel,Rotherham United,League One,DEF,FB,21,64.0,64.1,64.0,17.2,61.6
E,Curacao,Tyrique Mercera,FC Groningen,Eredivisie,DEF,FB,21,64.0,62.1,64.0,17.2,60.2
E,Curacao,Livano Comenencia,FC Zürich,Super League,DEF,FB,21,62.0,61.9,62.0,17.2,59.7
E,Curacao,Rayvien Rosario,Excelsior,Eredivisie,MID,WM,21,60.0,58.8,60.0,17.2,57.3
E,Curacao,Tyrick Bodak,Telstar,Eredivisie,GK,GK,23,60.0,56.9,60.0,20.5,56.3
E,Curacao,Giandro Alejandro Sambo,Heracles Almelo,Eredivisie,FWD,W,18,57.0,58.3,57.0,12.2,56.0
E,Curacao,Isaiah Ahmed,SC Heerenveen,Eredivisie,MID,DM,19,58.0,56.0,58.0,13.9,54.7
A,Czech Republic,Patrik Schick,Bayer 04 Leverkusen,Bundesliga,FWD,ST,29,85.0,78.7,85.0,69.7,80.1
A,Czech Republic,Tomáš Souček,West Ham United,Premier League,MID,DM,30,78.0,75.5,78.0,56.5,75.5
A,Czech Republic,Lukáš Provod,SK Slavia Praha,První liga,MID,AM,28,78.0,77.2,78.0,28.9,73.9
A,Czech Republic,Adam Hložek,TSG 1899 Hoffenheim,Bundesliga,FWD,ST,22,77.0,77.6,77.0,18.9,73.0
A,Czech Republic,Ladislav Krejčí,Wolverhampton Wanderers,Premier League,DEF,CB,26,78.0,76.0,78.0,25.5,72.7
A,Czech Republic,Tomáš Holeš,SK Slavia Praha,První liga,DEF,CB,32,76.0,75.0,76.0,35.5,72.7
A,Czech Republic,Michal Sadílek,SK Slavia Praha,První liga,MID,DM,26,76.0,74.4,76.0,25.5,71.3
A,Czech Republic,Pavel Šulc,Olympique Lyonnais,Ligue 1,MID,AM,24,77.0,74.3,77.0,22.2,71.1
A,Czech Republic,Antonín Barák,Sampdoria,Serie B,MID,CM,30,75.0,73.3,75.0,32.2,71.1
A,Czech Republic,Jan Bořil,SK Slavia Praha,První liga,DEF,CB,34,74.0,72.3,74.0,37.2,70.8
A,Czech Republic,Matěj Vydra,Viktoria Plzeň,První liga,FWD,ST,33,74.0,72.0,74.0,37.2,70.5
A,Czech Republic,Pavel Bucha,FC Cincinnati,Major League Soccer,MID,CM,27,75.0,72.9,75.0,27.2,70.3
A,Czech Republic,Filip Panák,Sparta Praha,První liga,DEF,CB,29,74.0,72.7,74.0,30.5,70.3
A,Czech Republic,Václav Černý,Beşiktaş JK,Süper Lig,MID,WM,27,77.0,72.4,77.0,27.2,70.2
A,Czech Republic,Vasil Kušej,SK Slavia Praha,První liga,FWD,W,25,74.0,73.3,74.0,23.9,70.1
A,Czech Republic,Václav Jemelka,Viktoria Plzeň,První liga,DEF,CB,30,74.0,71.6,74.0,32.2,69.8
A,Czech Republic,Mojmír Chytil,SK Slavia Praha,První liga,FWD,ST,26,74.0,72.2,74.0,25.5,69.5
A,Czech Republic,Tomáš Chorý,SK Slavia Praha,První liga,FWD,ST,30,75.0,70.9,75.0,32.2,69.4
A,Czech Republic,David Jurásek,Beşiktaş JK,Süper Lig,DEF,FB,24,73.0,72.9,73.0,22.2,69.4
A,Czech Republic,Pavel Kadeřábek,Sparta Praha,První liga,DEF,FB,33,74.0,70.2,74.0,37.2,69.3
A,Czech Republic,Jindřich Staněk,SK Slavia Praha,První liga,GK,GK,29,76.0,70.3,76.0,30.5,69.0
A,Czech Republic,Martin Jedlička,Viktoria Plzeň,První liga,GK,GK,27,75.0,70.5,75.0,27.2,68.7
A,Czech Republic,David Zima,SK Slavia Praha,První liga,DEF,CB,24,74.0,71.1,74.0,22.2,68.4
A,Czech Republic,Matěj Šín,AZ Alkmaar,Eredivisie,MID,AM,21,74.0,71.9,74.0,17.2,68.4
A,Czech Republic,Antonín Kinský,Tottenham Hotspur,Premier League,GK,GK,22,75.0,70.7,75.0,18.9,68.0
A,Czech Republic,Martin Vitík,Bologna,Serie A,DEF,CB,22,74.0,70.7,74.0,18.9,67.8
K,DR Congo,Yoane Wissa,Newcastle United,Premier League,FWD,ST,28,82.0,79.9,82.0,68.1,80.3
K,DR Congo,Simon Bokoté Banza,Sporting Clube de Braga,Primeira Liga,FWD,ST,28,81.0,78.6,81.0,68.1,79.2
K,DR Congo,Aaron Wan-Bissaka,West Ham United,Premier League,DEF,FB,27,80.0,75.8,80.0,66.4,77.0
K,DR Congo,Cédric Bakambu,Real Betis Balompié,La Liga,FWD,ST,34,77.0,75.0,77.0,61.5,75.5
K,DR Congo,Chancel Mbemba Mangulu,Lille OSC,Ligue 1,DEF,CB,30,75.0,71.7,75.0,56.5,72.4
K,DR Congo,Fuka-Arthur Masuaku Kawela,Sunderland,Premier League,DEF,FB,31,75.0,74.9,75.0,33.9,72.3
K,DR Congo,Joris Kayembe Ditu,KRC Genk,Pro League,DEF,FB,30,74.0,72.5,74.0,32.2,70.4
K,DR Congo,Afimico Pululu,Jagiellonia Białystok,Ekstraklasa,FWD,ST,26,72.0,73.8,72.0,25.5,70.3
K,DR Congo,Silas Katompa-Mvumpa,VfB Stuttgart,Bundesliga,MID,WM,26,74.0,72.5,74.0,25.5,69.7
K,DR Congo,Samuel Emmanuel Essende Mbongu,FC Augsburg,Bundesliga,FWD,ST,27,74.0,71.8,74.0,27.2,69.4
K,DR Congo,Axel Tuanzebe,Burnley,Premier League,DEF,FB,27,73.0,71.7,73.0,27.2,69.1
K,DR Congo,Marcel Jany Emile Tisserand,Sydney FC,A-League Men,DEF,CB,32,70.0,71.0,70.0,35.5,69.1
K,DR Congo,Meschack Elia Lina,Alanyaspor,Süper Lig,FWD,ST,27,70.0,72.3,70.0,27.2,69.1
K,DR Congo,Oscar Taty Maritu,Yunnan Yukun,Super League,FWD,ST,25,70.0,72.3,70.0,23.9,68.8
K,DR Congo,Jackson Muleka Kyanvubu,Konyaspor,Süper Lig,FWD,ST,25,70.0,72.3,70.0,23.9,68.7
K,DR Congo,Edo Kayembe Kayembe,Watford,Championship,MID,CM,27,71.0,69.9,71.0,27.2,67.6
K,DR Congo,Noah Junior Sadiki,Sunderland,Premier League,MID,CM,20,74.0,70.5,74.0,15.5,67.4
K,DR Congo,Charles Monginda Pickel,RCD Espanyol,La Liga,MID,CM,28,71.0,69.3,71.0,28.9,67.4
K,DR Congo,Grady George Diangana,Elche CF,La Liga,MID,AM,27,70.0,69.4,70.0,27.2,67.1
K,DR Congo,Ngal'ayel Mukau,Lille OSC,Ligue 1,MID,DM,20,74.0,69.7,74.0,15.5,66.8
K,DR Congo,Buduka Dylan Batubinsika,AS Saint-Étienne,Ligue 2,DEF,CB,29,71.0,68.3,71.0,30.5,66.8
K,DR Congo,Beni Tangama Baningime,Hearts,Premiership,MID,DM,26,71.0,68.1,71.0,25.5,66.2
K,DR Congo,Steve Kapuadi,Legia Warszawa,Ekstraklasa,DEF,CB,27,71.0,67.9,71.0,27.2,66.2
K,DR Congo,Nathanaël Mbuku,Montpellier HSC,Ligue 2,MID,WM,23,70.0,66.9,70.0,20.5,64.8
K,DR Congo,Jeremy Ngakia,Watford,Championship,DEF,FB,24,69.0,65.6,69.0,22.2,63.8
K,DR Congo,Lionel M'Pasi N'Zau,Le Havre AC,Ligue 1,GK,GK,30,67.0,62.9,67.0,32.2,62.7
E,Ecuador,Moisés Isaac Caicedo Corozo,Chelsea,Premier League,MID,DM,23,87.0,81.6,87.0,68.8,82.3
E,Ecuador,Willian Joel Pacho Tenorio,Paris Saint-Germain,Ligue 1,DEF,CB,23,86.0,80.8,86.0,59.7,80.7
E,Ecuador,Piero Martín Hincapié Reyna,Arsenal,Premier League,DEF,CB,23,83.0,79.9,83.0,59.7,79.6
E,Ecuador,Pervis Josué Estupiñán Tenorio,AC Milan,Serie A,DEF,FB,27,79.0,75.6,79.0,66.4,76.7
E,Ecuador,Ángelo Smit Preciado Quiñónez,Sparta Praha,První liga,MID,WM,27,75.0,74.7,75.0,27.2,71.5
E,Ecuador,Júnior Nazareno Sornoza Moreira,Independiente del Valle,Serie A,MID,AM,31,72.0,72.2,72.0,33.9,70.0
E,Ecuador,Hernán Ismael Galíndez,Huracán,Liga Profesional de Fútbol,GK,GK,38,74.0,69.9,74.0,37.2,69.1
E,Ecuador,José Alfredo Quintero Ordóñez,LDU Quito,Serie A,DEF,FB,35,70.0,70.2,70.0,37.2,68.7
E,Ecuador,Byron Efraín Palacios Vélez,Universidad Católica del Ecuador,Serie A,FWD,ST,30,71.0,70.4,71.0,32.2,68.5
E,Ecuador,Leonel Enrique Quiñónez Padilla,LDU Quito,Serie A,DEF,FB,31,71.0,70.0,71.0,33.9,68.4
E,Ecuador,Joel Leandro Ordóñez Guerrero,Club Brugge KV,Pro League,DEF,CB,21,75.0,71.5,75.0,17.2,68.3
E,Ecuador,Jhoanner Stalin Chávez Quintero,RC Lens,Ligue 1,DEF,FB,23,72.0,71.5,72.0,20.5,68.2
E,Ecuador,John Yeboah Zamora,Venezia,Serie B,FWD,ST,25,70.0,71.3,70.0,23.9,68.1
E,Ecuador,Alexander Domínguez Carabalí,LDU Quito,Serie A,GK,GK,38,73.0,68.6,73.0,37.2,68.0
E,Ecuador,José Adoni Cifuentes Charcopa,Toronto FC,Major League Soccer,MID,CM,26,72.0,70.3,72.0,25.5,67.9
E,Ecuador,Janner Hitcler Corozo Alman,Barcelona de Guayaquil,Serie A,MID,WM,29,71.0,69.9,71.0,30.5,67.9
E,Ecuador,Ray Kendry Páez Andrade,RC Strasbourg Alsace,Ligue 1,MID,AM,18,73.0,71.9,73.0,12.2,67.8
E,Ecuador,José Joel Carabalí Prado,Universitario de Deportes,Liga 1,DEF,FB,28,70.0,69.8,70.0,28.9,67.6
E,Ecuador,Bryan Josías Ramírez León,LDU Quito,Serie A,MID,WM,24,71.0,70.4,71.0,22.2,67.5
E,Ecuador,John Anthony Mercado Cuero,Sparta Praha,První liga,FWD,W,23,70.0,70.9,70.0,20.5,67.5
E,Ecuador,Javier Nicolás Burrai,Talleres,Liga Profesional de Fútbol,GK,GK,34,72.0,67.3,72.0,37.2,67.0
E,Ecuador,Carlos Armando Gruezo Arboleda,LDU Quito,Serie A,MID,DM,30,72.0,67.5,72.0,32.2,66.6
E,Ecuador,Luis David Cangá Sánchez,Universidad Católica del Ecuador,Serie A,DEF,CB,30,70.0,67.6,70.0,32.2,66.4
E,Ecuador,Carlos Jhon Garcés Acosta,Cienciano,Liga 1,FWD,ST,35,70.0,66.9,70.0,37.2,66.4
E,Ecuador,Leonardo Campana Romero,New England Revolution,Major League Soccer,FWD,ST,25,72.0,68.0,72.0,23.9,66.2
E,Ecuador,Felipe Salvador Caicedo Corozo,Barcelona de Guayaquil,Serie A,FWD,ST,36,69.0,66.5,69.0,37.2,66.0
G,Egypt,Mohamed Salah Hamed Ghaly,Liverpool,Premier League,MID,WM,33,91.0,84.0,91.0,91.1,86.8
G,Egypt,Omar Khaled Mohamed Marmoush,Manchester City,Premier League,FWD,ST,26,84.0,83.2,84.0,64.7,82.5
G,Egypt,Mostafa Mohamed Ahmed Abdalla,FC Nantes,Ligue 1,FWD,ST,27,73.0,71.9,73.0,27.2,69.3
G,Egypt,Mohamed Abdelmonem,OGC Nice,Ligue 1,DEF,CB,26,74.0,70.5,74.0,25.5,68.3
G,Egypt,Ahmed Hassan Mahgoub,Al Ettifaq,Pro League,FWD,ST,32,72.0,66.9,72.0,35.5,66.5
G,Egypt,Ahmed Elsayed Ali Elsayed Hegazy,NEOM SC,Pro League,DEF,CB,34,75.0,65.7,75.0,37.2,66.4
G,Egypt,Rami Hisham Abdel Aziz Rabia,Al Ain,Pro League,DEF,CB,32,67.0,65.1,67.0,35.5,64.5
G,Egypt,Omar Fayed,FC Arouca,Primeira Liga,DEF,CB,21,65.0,62.4,65.0,17.2,60.6
G,Egypt,Karim Ashraf Ahmed,Al Akhdoud Saudi Club,Pro League,FWD,ST,21,53.0,55.2,53.0,17.2,53.7
G,Egypt,Sonny Sharples-Ahmed,Bolton Wanderers,League One,MID,CM,20,52.0,50.9,52.0,15.5,50.5
L,England,Jude Victor William Bellingham,Real Madrid,La Liga,MID,AM,22,90.0,85.3,90.0,72.8,85.7
L,England,Harry Edward Kane,FC Bayern München,Bundesliga,FWD,ST,31,89.0,82.4,89.0,87.8,85.0
L,England,Bukayo Saka,Arsenal,Premier League,FWD,W,23,88.0,85.1,88.0,68.8,84.8
L,England,Cole Jermaine Palmer,Chelsea,Premier League,MID,AM,23,87.0,84.6,87.0,68.8,84.3
L,England,Declan Rice,Arsenal,Premier League,MID,DM,26,87.0,83.3,87.0,73.8,83.9
L,England,Philip Walter Foden,Manchester City,Premier League,FWD,W,25,85.0,83.5,85.0,63.1,82.7
L,England,Anthony Michael Gordon,Newcastle United,Premier League,FWD,W,24,83.0,83.2,83.0,61.4,82.0
L,England,Trent John Alexander-Arnold,Real Madrid,La Liga,DEF,FB,26,86.0,80.1,86.0,73.8,81.6
L,England,Eberechi Oluchi Eze,Arsenal,Premier League,MID,AM,27,83.0,81.4,83.0,66.4,81.2
L,England,Oliver George Arthur Watkins,Aston Villa,Premier League,FWD,ST,29,84.0,80.3,84.0,69.7,81.0
L,England,Morgan Anthony Gibbs-White,Nottingham Forest,Premier League,MID,AM,25,82.0,80.6,82.0,63.1,80.2
L,England,Ezri Konsa Ngoyo,Aston Villa,Premier League,DEF,CB,27,82.0,79.0,82.0,66.4,79.5
L,England,James Daniel Maddison,Tottenham Hotspur,Premier League,MID,CM,28,84.0,78.1,84.0,68.1,79.4
L,England,Reece James,Chelsea,Premier League,DEF,FB,25,81.0,79.6,81.0,63.1,79.4
L,England,Morgan Elliot Rogers,Aston Villa,Premier League,MID,AM,22,82.0,79.7,82.0,58.1,79.2
L,England,Jordan Lee Pickford,Everton,Premier League,GK,GK,31,84.0,76.9,84.0,73.1,79.0
L,England,John Stones,Manchester City,Premier League,DEF,CB,31,82.0,76.8,82.0,73.1,78.6
L,England,Benjamin William White,Arsenal,Premier League,DEF,FB,27,83.0,76.6,83.0,66.4,78.0
L,England,Addji Keaninkin Marc-Israel Guéhi,Crystal Palace,Premier League,DEF,CB,24,82.0,77.5,82.0,61.4,77.9
L,England,Oluwafikayomi Oluwadamilola Tomori,AC Milan,Serie A,DEF,CB,27,81.0,76.8,81.0,66.4,77.8
L,England,Kieran John Trippier,Newcastle United,Premier League,DEF,FB,34,80.0,75.5,80.0,76.4,77.8
L,England,Nicholas David Pope,Newcastle United,Premier League,GK,GK,33,81.0,75.2,81.0,76.4,77.7
L,England,Jarrod Bowen,West Ham United,Premier League,MID,WM,28,83.0,75.8,83.0,68.1,77.6
L,England,Dean Bradley Henderson,Crystal Palace,Premier League,GK,GK,28,81.0,75.2,81.0,68.1,76.9
L,England,Ivan Benjamin Elijah Toney,Al Ahli SFC,Pro League,FWD,ST,29,81.0,79.4,81.0,30.5,76.0
L,England,Valentino Francisco Livramento,Newcastle United,Premier League,DEF,FB,22,80.0,76.6,80.0,18.9,72.8
I,France,Kylian Mbappé Lottin,Real Madrid,La Liga,FWD,ST,26,91.0,89.0,91.0,79.5,89.1
I,France,Masour Ousmane Dembélé,Paris Saint-Germain,Ligue 1,FWD,ST,28,90.0,86.0,90.0,82.8,87.2
I,France,Antoine Griezmann,Atlético Madrid,La Liga,FWD,ST,34,85.0,82.1,85.0,85.5,84.0
I,France,Jules Olivier Koundé,FC Barcelona,La Liga,DEF,FB,26,87.0,82.0,87.0,73.8,83.1
I,France,Karim Benzema,Al Ittihad,Pro League,FWD,ST,37,85.0,80.6,85.0,85.5,83.0
I,France,Marcus Lilian Thuram-Ulien,Inter,Serie A,FWD,ST,27,85.0,82.7,85.0,66.4,82.5
I,France,Theo Bernard François Hernández,Al Hilal,Pro League,DEF,FB,27,84.0,82.6,84.0,66.4,82.3
I,France,William Alain André Gabriel Saliba,Arsenal,Premier League,DEF,CB,24,87.0,81.3,87.0,70.5,82.2
I,France,Ibrahima Konaté,Liverpool,Premier League,DEF,CB,26,86.0,80.4,86.0,73.8,81.8
I,France,Désiré Doué,Paris Saint-Germain,Ligue 1,FWD,W,20,85.0,83.0,85.0,54.7,81.5
I,France,Benjamin Pavard,Olympique de Marseille,Ligue 1,DEF,CB,29,84.0,81.1,84.0,69.7,81.5
I,France,Mike Peterson Maignan,AC Milan,Serie A,GK,GK,29,87.0,78.8,87.0,78.8,81.4
I,France,N'Golo Kanté,Al Ittihad,Pro League,MID,DM,34,85.0,79.6,85.0,76.4,81.4
I,France,Adrien Rabiot-Provost,AC Milan,Serie A,MID,AM,30,83.0,80.6,83.0,71.4,81.2
I,France,Moussa Diaby,Al Ittihad,Pro League,MID,WM,25,84.0,80.5,84.0,63.1,80.5
I,France,Aurélien Djani Tchouameni,Real Madrid,La Liga,MID,DM,25,84.0,80.4,84.0,63.1,80.4
I,France,Ferland Sinna Mendy,Real Madrid,La Liga,DEF,FB,30,81.0,79.6,81.0,71.4,80.2
I,France,Dayotchanculle Oswald Upamecano,FC Bayern München,Bundesliga,DEF,CB,26,85.0,79.4,85.0,64.7,80.1
I,France,Michael Akpovie Olise,FC Bayern München,Bundesliga,MID,WM,23,86.0,79.6,86.0,59.7,79.9
I,France,Eduardo Celmi Camavinga,Real Madrid,La Liga,MID,CM,22,83.0,80.0,83.0,58.1,79.5
I,France,Boubacar Bernard Kamara,Aston Villa,Premier League,MID,DM,25,83.0,78.8,83.0,63.1,79.2
I,France,Kingsley Junior Coman,Al Nassr,Pro League,MID,WM,29,83.0,77.7,83.0,69.7,79.1
I,France,Lucas François Bernard Hernández Pi,Paris Saint-Germain,Ligue 1,DEF,CB,29,81.0,77.6,81.0,69.7,78.7
I,France,Lucas Chevalier,Paris Saint-Germain,Ligue 1,GK,GK,23,83.0,76.7,83.0,59.7,77.4
I,France,Mohamed Simakan,Al Nassr,Pro League,DEF,CB,25,81.0,78.1,81.0,48.2,76.9
I,France,Brice Lauriche Samba,Stade Rennais FC,Ligue 1,GK,GK,31,80.0,74.3,80.0,73.1,76.6
E,Germany,Florian Richard Wirtz,Liverpool,Premier League,MID,AM,22,89.0,86.3,89.0,72.8,86.2
E,Germany,Joshua Walter Kimmich,FC Bayern München,Bundesliga,MID,DM,30,89.0,84.7,89.0,80.5,85.9
E,Germany,Antonio Rüdiger,Real Madrid,La Liga,DEF,CB,32,86.0,81.7,86.0,83.8,83.7
